,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
731,Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Udinese,it Serie A,21,1999,3,184,61,5.4,2,2,90,,1,4,7,0,0,3,-3,-1.47,-1.11,3.8,1.7,2,1,1.31
732,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,25,1994,22,1934,88,56.5,21.5,22,88,,0,,6,0.59,16,45,-29,-1.35,-0.2,20.1,40.7,-20.6,-0.96,0.42
733,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,de Bundesliga,19,2001,31,1506,49,49.2,16.7,17,72,,14,21,1,1.35,25,32,-7,-0.42,-0.88,25,25.8,-0.8,-0.05,-0.09
734,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38,3420,90,100,38,38,90,,0,,0,2.21,67,28,39,1.03,,61.7,36.5,25.2,0.66,
735,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,es La Liga,28,1992,12,654,55,19.1,7.3,8,70,,4,25,1,1.5,14,7,7,0.96,-0.34,14.1,9.3,4.8,0.66,-0.46
736,Conor Coventry\Conor-Coventry,ie IRL,MF,West Ham,eng Premier League,20,2000,0,,,,,0,,,0,,7,,,,,,,,,,,
737,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,21,1999,20,1369,68,40,15.2,15,84,,5,21,17,1.4,23,28,-5,-0.33,-0.46,15.2,29.9,-14.7,-0.96,-0.83
738,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34,3060,90,89.5,34,34,90,,0,,0,0.82,35,53,-18,-0.53,-1.03,40.7,57.9,-17.2,-0.51,-0.4
739,Gian Crespi\Gian-Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1,90,90,2.6,1,1,90,,0,,32,1,0,0,0,0,1.27,1.4,0.6,0.9,0.86,1.77
740,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,30,1989,36,3170,88,92.7,35.2,36,88,,0,,0,1.81,60,41,19,0.54,1.98,51.4,42.8,8.6,0.24,1.26
741,Charlie Cresswell\Charlie-Cresswell,eng ENG,DF,Leeds United,eng Premier League,17,2002,0,,,,,0,,,0,,7,,,,,,,,,,,
742,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,33,1986,23,1726,75,50.5,19.2,20,83,,3,19,2,1.43,26,22,4,0.21,1.01,19.2,23.2,-4.1,-0.21,0.46
743,Bryan Cristante\Bryan-Cristante,it ITA,DFMF,Roma,it Serie A,25,1995,34,2155,63,63,23.9,22,86,,12,21,1,1.59,45,32,13,0.54,0.76,44.4,33,11.5,0.48,0.05
744,Cristian\Cristian,es ESP,GK,Valencia,es La Liga,22,1998,0,,,,,0,,,0,,32,,,,,,,,,,,
745,Giovanni Crociata\Giovanni-Crociata,it ITA,DFMF,Crotone,it Serie A,22,1997,2,26,13,0.8,0.3,0,,,2,13,16,0,0,1,-1,-3.46,-2.24,0.2,1.4,-1.2,-4.26,-3.41
746,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,es La Liga,28,1992,26,1962,75,57.4,21.8,23,80,,3,39,10,1.15,16,29,-13,-0.6,-0.72,17.4,30.4,-13,-0.6,-0.56
747,Juan Cuadrado\Juan-Cuadrado,co COL,DFMF,Juventus,it Serie A,32,1988,30,2175,73,63.6,24.2,26,80,,4,22,0,2.07,48,25,23,0.95,-0.2,46,21.2,24.8,1.03,0.22
748,Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,fr Ligue 1,24,1996,27,2242,83,65.6,24.9,27,83,,0,,1,0.96,25,45,-20,-0.8,0.04,26.3,40.5,-14.2,-0.57,0.14
749,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,es La Liga,20,1999,1,1,1,0,0,0,,,1,1,2,1,0,0,0,0,0.61,0,0,0,0,0.14
750,Cucho\Cucho,co COL,FWMF,Getafe,es La Liga,21,1999,23,1466,64,42.9,16.3,18,76,,5,21,0,1.09,13,17,-4,-0.25,0.26,11.7,19.2,-7.5,-0.46,-0.45
751,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,es La Liga,22,1998,37,3244,88,94.9,36,37,88,,0,,0,1.03,25,38,-13,-0.36,0.66,31.1,37.4,-6.3,-0.17,0.52
752,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,20,1999,1,18,18,0.6,0.2,0,,,1,18,0,3,1,0,1,5,3.4,0.1,0.1,0.1,0.27,-0.76
753,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,fr Ligue 1,20,1999,23,1024,45,29.9,11.4,11,71,,12,20,5,1.7,19,11,8,0.7,0.74,13.4,12,1.4,0.13,0.12
754,Pablo Cuñat\Pablo-Cunat,es ESP,GK,Levante,es La Liga,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
755,Luke Cundle\Luke-Cundle,eng ENG,MF,Wolves,eng Premier League,18,2002,0,,,,,0,,,0,,6,,,,,,,,,,,
756,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,21,1999,27,2149,80,70.2,23.9,25,84,,2,30,0,1,32,40,-8,-0.34,-0.04,29.7,33.8,-4.2,-0.18,-0.13
757,Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,it Serie A,22,1998,13,801,62,23.4,8.9,8,85,,5,25,16,0.92,8,18,-10,-1.12,0.15,8,14.7,-6.7,-0.75,0.16
758,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Fiorentina,it Serie A,22,1998,11,196,18,5.7,2.2,0,,,11,18,2,0.91,2,6,-4,-1.84,-1.61,2.6,3.9,-1.3,-0.6,-0.36
759,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,eng Premier League,22,1998,2,25,13,0.7,0.3,0,,,2,13,1,0,0,0,0,0,0.42,0.5,0,0.5,1.91,2.08
760,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,es La Liga,22,1998,7,108,15,3.2,1.2,0,,,7,15,5,0.29,0,1,-1,-0.83,-0.78,1.2,2.5,-1.3,-1.05,-0.8
761,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Parma,it Serie A,25,1995,13,410,32,12,4.6,2,90,,11,21,10,0.38,2,16,-14,-3.07,-2.18,4.4,10.1,-5.7,-1.24,-0.77
762,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,30,1990,28,2259,81,73.8,25.1,26,84,,2,44,0,0.96,27,39,-12,-0.48,0.76,30.9,36.5,-5.6,-0.22,0.96
763,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Genoa,it Serie A,21,1999,17,1173,69,34.3,13,15,74,,2,30,15,1.47,12,13,-1,-0.08,0.32,11.6,16.4,-4.8,-0.37,0.11
764,Szymon Czyż\Szymon-Czyz,pl POL,MF,Lazio,it Serie A,19,2001,0,,,,,0,,,0,,4,,,,,,,,,,,
765,Giuseppe D'Agostino\Giuseppe-DAgostino,it ITA,FW,Napoli,it Serie A,17,2003,0,,,,,0,,,0,,8,,,,,,,,,,,
766,Francesco D'Alterio\Francesco-DAlterio,it ITA,GK,Crotone,it Serie A,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
767,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,31,1988,19,699,37,20.4,7.8,7,86,,12,8,13,2.47,23,11,12,1.55,0.16,18.4,13.4,4.9,0.64,-0.4
768,Giovanni D'Aprile\Giovanni-DAprile,it ITA,DF,Crotone,it Serie A,15,2005,0,,,,,0,,,0,,8,,,,,,,,,,,
769,Cosimo Marco Da Graca\Cosimo-Marco-Da-Graca,it ITA,FW,Juventus,it Serie A,18,2002,0,,,,,0,,,0,,7,,,,,,,,,,,
770,Jacopo Da Riva\Jacopo-Da-Riva,it ITA,MF,Atalanta,it Serie A,19,2000,0,,,,,0,,,0,,1,,,,,,,,,,,
771,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,32,1988,30,2661,89,77.8,29.6,30,89,,0,,3,1.57,39,32,7,0.24,-0.36,38.6,30,8.6,0.29,0.13
772,Bryan Dabo\Bryan-Dabo,bf BFA,MF,Benevento,it Serie A,28,1992,25,1117,45,32.7,12.4,12,73,,13,19,9,0.92,14,31,-17,-1.37,-0.67,17.4,25.7,-8.3,-0.67,-0.04
773,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,28,1992,22,999,45,32.6,11.1,11,75,,11,16,7,1.18,17,12,5,0.45,0.76,17.6,16.4,1.1,0.1,0.22
774,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,21,1998,25,1357,54,39.7,15.1,15,78,,10,19,7,2.16,38,9,29,1.92,0.66,34.9,18.3,16.7,1.11,-0.14
775,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3,270,90,8.8,3,3,90,,0,,31,1,6,10,-4,-1.33,-0.91,5.5,6.8,-1.3,-0.44,-0.36
776,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,24,1996,21,1258,60,41.1,14,15,74,,6,24,11,2.14,34,13,21,1.5,1.1,25.3,15.3,10,0.71,-0.2
777,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,de Bundesliga,19,2001,2,37,19,1.2,0.4,0,,,2,19,4,0.5,0,1,-1,-2.43,-2.67,0.3,1.2,-0.8,-2.06,-2.21
778,Vontae Daley Campbell\Vontae-Daley-Campbell,eng ENG,DF,Leicester City,eng Premier League,19,2001,0,,,,,0,,,0,,10,,,,,,,,,,,
779,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,eng Premier League,29,1991,38,3409,90,99.7,37.9,38,90,,0,,0,1.55,62,53,9,0.24,8.42,57.4,62,-4.6,-0.12,6.74
780,Christian Dalle Mura\Christian-Dalle-Mura,it ITA,DF,Fiorentina,it Serie A,18,2002,0,,,,,0,,,0,,3,,,,,,,,,,,
781,Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,it Serie A,21,1999,21,1090,52,31.9,12.1,10,89,,11,18,14,2.1,21,13,8,0.66,-0.31,18.7,15.8,2.9,0.24,-0.63
782,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20,2000,35,1773,51,51.8,19.7,18,75,,17,24,2,1.37,26,32,-6,-0.3,-0.52,23.8,33.8,-10,-0.51,-0.47
783,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,19,2001,23,1477,64,43.2,16.4,15,84,,8,27,14,1.48,19,20,-1,-0.06,0.03,22.2,22.4,-0.2,-0.01,0.2
784,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29,1991,34,2916,86,85.3,32.4,32,88,,2,52,3,2.15,69,30,39,1.2,1.2,64.2,33,31.2,0.96,0.1
785,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,33,1987,15,1350,90,39.5,15,15,90,,0,,15,1.07,13,24,-11,-0.73,-0.12,14.8,21.8,-7,-0.46,0.32
786,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,de Bundesliga,19,2000,2,69,35,2.3,0.8,1,65,,1,4,10,2,0,0,0,0,-1.65,0.3,0.6,-0.3,-0.36,-1.42
787,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,36,1983,9,774,86,22.6,8.6,9,86,,0,,0,1.89,13,10,3,0.35,0.55,10.5,11.3,-0.7,-0.09,0.05
788,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,21,1999,2,104,52,3,1.2,1,90,,1,14,11,3,0,0,0,0,0.05,1.3,1.8,-0.5,-0.47,-0.31
789,Ebrima Darboe\Ebrima-Darboe,gm GAM,MF,Roma,it Serie A,19,2001,5,323,65,9.4,3.6,4,79,,1,8,7,1.4,8,4,4,1.11,0.94,5,5.7,-0.8,-0.22,-0.75
790,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,18,2002,12,821,68,26.8,9.1,9,86,,3,15,11,1.17,8,12,-4,-0.44,-0.16,10.6,11.1,-0.5,-0.06,0.11
791,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,29,1990,27,1903,70,62.2,21.1,24,77,,3,17,3,1,24,36,-12,-0.57,-0.65,26.7,30.9,-4.2,-0.2,-0.17
792,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25,2250,90,65.8,25,25,90,,0,,6,1,26,43,-17,-0.68,-0.76,23.4,36,-12.6,-0.5,-0.47
793,Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,it Serie A,30,1989,26,1160,45,33.9,12.9,14,72,,12,13,8,2.58,21,11,10,0.78,-0.98,18.8,12.1,6.7,0.52,-0.65
794,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,30,1989,3,208,69,6.1,2.3,2,90,,1,28,0,1,1,6,-5,-2.16,-1.07,1.5,3.9,-2.4,-1.04,-0.5
795,Jonathan David\Jonathan-David,ca CAN,FW,Lille,fr Ligue 1,20,2000,37,2354,64,68.8,26.2,29,76,,8,18,0,2.16,48,12,36,1.38,0.95,36,14.5,21.5,0.82,0.67
796,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,19,2000,23,1763,77,57.6,19.6,22,80,,1,1,4,2.22,55,32,23,1.17,-1.05,48.1,24.1,24,1.22,0.47
797,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,27,1993,20,1346,67,39.4,15,14,90,,6,14,9,1.7,21,16,5,0.33,-0.45,18.6,19.7,-1.1,-0.07,-0.34
798,Ben Davies\Ben-Davies,eng ENG,DF,Liverpool,eng Premier League,24,1995,0,,,,,0,,,0,,4,,,,,,,,,,,
799,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,22,1998,25,1423,57,41.6,15.8,17,79,,8,9,10,1.76,18,23,-5,-0.32,-0.5,17.7,24.5,-6.8,-0.43,-0.55
800,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,eng Premier League,22,1998,15,277,18,8.1,3.1,1,90,,14,13,18,0.93,5,1,4,1.3,1.16,4.9,2.5,2.4,0.77,0.83
801,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,eng Premier League,20,2000,2,33,17,1,0.4,0,,,2,17,23,0.5,1,0,1,2.73,2.54,0.7,1.7,-1,-2.76,-2.64
802,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25,1995,30,1860,62,54.4,20.7,22,75,,8,25,2,1.1,20,28,-8,-0.39,-0.73,24.3,26.2,-1.9,-0.09,0.19
803,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,eng Premier League,30,1990,22,1925,88,56.3,21.4,22,88,,0,,4,1.95,37,23,14,0.65,0.59,32.8,23.8,9,0.42,0.61
804,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,29,1991,25,1997,80,58.4,22.2,23,85,,2,17,4,2.24,45,17,28,1.26,-0.19,41.8,19.4,22.4,1.01,-0.24
805,Konrad De La Fuente\Konrad-De-La-Fuente,us USA,FW,Barcelona,es La Liga,19,2001,0,,,,,0,,,0,,18,,,,,,,,,,,
806,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,33,1987,15,853,57,24.9,9.5,9,86,,6,14,18,1.13,9,15,-6,-0.63,-0.28,12.3,10.7,1.6,0.17,0.55
807,Davide De Marino\Davide-De-Marino,it ITA,DF,Juventus,it Serie A,20,2000,0,,,,,0,,,0,,2,,,,,,,,,,,
808,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,26,1994,36,3201,89,93.6,35.6,36,89,,0,,0,1.03,39,56,-17,-0.48,-0.89,39,48.8,-9.8,-0.27,-0.52
809,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,fr Ligue 1,27,1992,29,1467,51,42.9,16.3,14,80,,15,23,0,2.14,33,21,12,0.74,-0.46,32.3,20.6,11.7,0.72,-0.63
810,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,27,1992,1,24,24,0.7,0.3,0,,,1,24,1,3,2,0,2,7.5,6.52,1.3,0.4,0.9,3.53,2.6
811,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,it Serie A,32,1988,29,2143,74,62.7,23.8,25,80,,4,38,7,1.07,31,42,-11,-0.46,-0.25,33,39.7,-6.7,-0.28,0.04
812,Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,fr Ligue 1,22,1998,8,496,62,14.5,5.5,6,78,,2,15,28,0.88,8,7,1,0.18,0.46,6.8,9.4,-2.6,-0.47,0.3
813,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,31,1988,25,1754,70,51.3,19.5,19,85,,6,23,1,0.88,20,42,-22,-1.13,-0.64,21.3,35.1,-13.8,-0.71,-0.18
814,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,26,2103,81,61.5,23.4,25,82,,1,45,0,1.5,31,24,7,0.3,1.6,33.3,26.1,7.2,0.31,0.82
815,Valentin Decarpentrie\Valentin-Decarpentrie,fr FRA,FW,Monaco,fr Ligue 1,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
816,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29,1991,28,1337,48,39.1,14.9,14,65,,14,30,1,1.57,30,22,8,0.54,0.54,23.7,18,5.7,0.39,0.45
817,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,24,1995,12,360,30,10.5,4,4,58,,8,16,6,0.92,3,6,-3,-0.75,-0.25,4.2,10.6,-6.3,-1.59,-1.11
818,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,24,1995,12,615,51,18,6.8,7,77,,5,15,5,1.58,6,6,0,0,0.51,7.4,10.1,-2.7,-0.4,0.08
819,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,24,1996,26,652,25,19.1,7.2,5,60,,21,17,6,1.46,14,8,6,0.83,0.63,11.4,4.9,6.5,0.89,0.78
820,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30,1990,1,11,11,0.3,0.1,0,,,1,11,10,0,0,1,-1,-8.18,-7.28,0,0.4,-0.4,-3.48,-2.84
821,Isaias Del Pupo\Isaias-Del-Pupo,ar ARG,MF,Cagliari,it Serie A,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
822,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,28,1992,24,1779,74,52,19.8,19,85,,5,34,11,1,18,25,-7,-0.35,-0.52,20.6,28.9,-8.2,-0.42,-0.42
823,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,28,1991,20,1286,64,42,14.3,14,79,,6,30,6,2.15,32,19,13,0.91,0.1,25,18.7,6.3,0.44,-0.68
824,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,17,2003,1,40,40,1.2,0.4,0,,,1,40,5,0,1,4,-3,-6.75,-8.19,0.5,1.8,-1.3,-2.89,-4.05
825,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,34,1986,18,906,50,26.5,10.1,9,83,,9,18,3,1.17,12,17,-5,-0.5,-0.03,13.3,14.1,-0.8,-0.08,0.04
826,Sacha Delaye\Sacha-Delaye,fr FRA,MF,Montpellier,fr Ligue 1,18,2002,1,7,7,0.2,0.1,0,,,1,7,0,3,0,0,0,0,0.05,0.1,0,0,0.56,1.02
827,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Metz,fr Ligue 1,31,1988,0,,,,,0,,,0,,1,,,,,,,,,,,
828,Fran Delgado\Fran-Delgado,es ESP,DF,Betis,es La Liga,19,2001,0,,,,,0,,,0,,10,,,,,,,,,,,
829,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,26,1994,8,262,33,7.7,2.9,2,72,,6,20,12,0.88,4,9,-5,-1.72,-1.29,2.6,7.7,-5.1,-1.74,-1.24
830,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,28,1991,30,2482,83,72.6,27.6,30,83,,0,,0,1.6,49,43,6,0.22,0.99,34.8,43.4,-8.5,-0.31,0.56
831,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,30,1989,8,266,33,7.8,3,2,59,,6,25,7,1.25,3,6,-3,-1.02,-1.07,2.8,4.7,-1.9,-0.64,-0.57
832,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24,1996,16,677,42,19.8,7.5,6,77,,10,22,0,2.06,9,5,4,0.53,-0.58,18,4.1,13.9,1.85,0.96
833,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,es La Liga,24,1996,5,100,20,2.9,1.1,0,,,5,20,12,2,4,1,3,2.7,1.64,3.3,0.8,2.5,2.22,1.76
834,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,es La Liga,23,1997,30,1774,59,51.9,19.7,19,78,,11,27,3,1.97,41,19,22,1.12,-0.25,38.7,19,19.7,1,-0.08
835,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,22,1998,15,940,63,27.5,10.4,10,90,,5,8,11,2.47,24,8,16,1.53,0.7,23.6,9.9,13.7,1.31,0.49
836,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27,1993,29,1744,60,57,19.4,20,78,,9,21,3,1.38,22,19,3,0.15,-0.6,24.7,21.3,3.4,0.18,-0.06
837,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,22,1998,30,1498,50,49,16.6,19,70,,11,15,2,1.4,32,25,7,0.42,0.82,22.7,25.4,-2.7,-0.16,0.12
838,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,28,1991,24,1590,66,46.5,17.7,20,78,,4,8,9,2.17,36,13,23,1.3,0.22,25.7,17.3,8.4,0.47,-0.39
839,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25,1995,31,2614,84,76.4,29,31,84,,0,,2,2.03,58,33,25,0.86,-0.59,64,31.8,32.2,1.11,0.12
840,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,25,1995,33,2503,76,73.2,27.8,28,87,,5,14,1,1.3,25,33,-8,-0.29,0.5,30.4,34,-3.5,-0.13,0.12
841,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,19,2000,10,524,52,15.3,5.8,6,68,,4,30,4,1,10,8,2,0.34,1.37,7.5,9.5,-2,-0.34,0.33
842,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,22,1997,9,474,53,15.5,5.3,6,72,,3,13,3,0.78,6,9,-3,-0.57,0.13,5.2,7.6,-2.4,-0.46,0.02
843,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27,1993,5,115,23,3.4,1.3,1,69,,4,12,8,1.2,2,1,1,0.78,1.19,2.5,1.6,0.9,0.71,1.04
844,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,23,1997,15,1120,75,32.7,12.4,14,79,,1,18,0,0.4,12,27,-15,-1.21,-0.42,10.8,22.3,-11.5,-0.92,-0.41
845,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,23,1997,2,77,39,2.3,0.9,1,45,,1,32,0,0,0,3,-3,-3.51,-3.53,0.5,1.3,-0.8,-0.95,-0.68
846,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,23,1997,5,191,38,5.6,2.1,3,58,,2,9,12,1.4,1,6,-5,-2.36,-3.69,2.8,3.5,-0.7,-0.33,-1.32
847,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,26,1994,37,2923,79,85.5,32.5,33,84,,4,35,0,1.97,74,38,36,1.11,0.75,73.1,39.8,33.3,1.03,-0.37
848,Clément Depres\Clement-Depres,fr FRA,MF,Nîmes,fr Ligue 1,25,1994,1,14,14,0.4,0.2,0,,,1,14,1,0,0,0,0,0,0.82,0,0.2,-0.1,-0.95,-0.33
849,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,27,1992,22,1356,62,44.3,15.1,15,89,,7,3,12,1.14,10,25,-15,-1,-0.41,9.1,26.5,-17.3,-1.15,-0.75
850,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,28,1992,2,100,50,2.9,1.1,1,90,,1,10,1,1.5,1,1,0,0,1.19,1.6,1.6,0,-0.03,0.55
851,Axel Desjardins\Axel-Desjardins,ca CAN,GK,Spezia,it Serie A,20,2000,0,,,,,0,,,0,,2,,,,,,,,,,,
852,Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,it Serie A,23,1996,1,11,11,0.3,0.1,0,,,1,11,0,0,0,0,0,0,0.42,0.2,0,0.1,1.21,1.68
853,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,es La Liga,19,2000,30,1909,64,55.8,21.2,23,77,,7,19,5,1.93,43,18,25,1.18,-0.13,44.4,24.7,19.7,0.93,-0.24
854,Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,it Serie A,29,1991,29,1606,55,47,17.8,22,70,,7,9,6,1.1,27,32,-5,-0.28,0.02,18.4,24.9,-6.4,-0.36,0.15
855,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,it Serie A,26,1994,13,598,46,17.5,6.6,7,69,,6,19,3,1.31,8,5,3,0.45,1.06,7.8,4.8,2.9,0.44,0.83
856,Alfie Devine\Alfie-Devine,eng ENG,MF,Tottenham,eng Premier League,15,2004,0,,,,,0,,,0,,2,,,,,,,,,,,
857,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,29,1991,27,874,32,25.6,9.7,11,67,,16,9,9,1.15,9,12,-3,-0.31,0.33,11.1,11.1,0,0,0.3
858,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,28,1992,2,79,40,2.3,0.9,1,57,,1,22,9,0,0,4,-4,-4.56,-3.48,0.7,1.8,-1.1,-1.25,-0.7
859,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,31,1988,11,500,45,14.6,5.6,6,63,,5,25,3,1.82,4,6,-2,-0.36,-0.36,5.7,6.7,-1,-0.18,0
