Player,Nation,Pos,Squad,Born
Yann Bodiger\Yann-Bodiger,FRA,MF,Cádiz,1995
Jean-Paul Boëtius\Jean-Paul-Boetius,NED,MFFW,Mainz 05,1994
Sacha Boey\Sacha-Boey,FRA,DF,Dijon,2000
Sacha Boey\Sacha-Boey,FRA,DF,Rennes,2000
Jeremie Boga\Jeremie-Boga,CIV,FWMF,Sassuolo,1997
Melayro Bogarde\Melayro-Bogarde,NED,DFMF,Hoffenheim,2002
Jayden Bogle\Jayden-Bogle,ENG,DF,Sheffield Utd,2000
Quentin Boisgard\Quentin-Boisgard,FRA,MFFW,Lorient,1997
Willy Boly\Willy-Boly,CIV,DF,Wolves,1991
Giacomo Bonaventura\Giacomo-Bonaventura,ITA,MF,Fiorentina,1989
Federico Bonazzoli\Federico-Bonazzoli,ITA,FW,Torino,1997
Federico Bonazzoli\Federico-Bonazzoli,ITA,FW,Sampdoria,1997
Kevin Bonifazi\Kevin-Bonifazi,ITA,DF,Udinese,1996
Leonardo Bonucci\Leonardo-Bonucci,ITA,DF,Juventus,1987
Elias Bördner\Elias-Bordner,GER,GK,Eint Frankfurt,2002
Dennis Borkowski\Dennis-Borkowski,GER,MF,RB Leipzig,2002
Sebastiaan Bornauw\Sebastiaan-Bornauw,BEL,DF,Köln,1999
Sven Botman\Sven-Botman,NED,DF,Lille,2000
Denis Bouanga\Denis-Bouanga,GAB,MFFW,Saint-Étienne,1994
Hicham Boudaoui\Hicham-Boudaoui,ALG,MFFW,Nice,1999
Ryad Boudebouz\Ryad-Boudebouz,ALG,MFFW,Saint-Étienne,1990
Sofiane Boufal\Sofiane-Boufal,MAR,FWMF,Angers,1993
Nassim Boujellab\Nassim-Boujellab,MAR,MFFW,Schalke 04,1999
Farid Boulaya\Farid-Boulaya,ALG,MFFW,Metz,1993
Yassine Bounou\Yassine-Bounou,MAR,GK,Sevilla,1991
Ismaëlben Boura\Ismaelben-Boura,FRA,DF,Lens,2000
Mehdi Bourabia\Mehdi-Bourabia,MAR,MF,Sassuolo,1991
Benjamin Bourigeaud\Benjamin-Bourigeaud,FRA,MFFW,Rennes,1994
Edoardo Bove\Edoardo-Bove,ITA,MF,Roma,2002
Jarrod Bowen\Jarrod-Bowen,ENG,FWMF,West Ham,1996
Dedryck Boyata\Dedryck-Boyata,BEL,DF,Hertha BSC,1990
John Boye\John-Boye,GHA,DF,Metz,1987
Lucas Boyé\Lucas-Boye,ARG,FW,Elche,1996
Can Bozdogan\Can-Bozdogan,GER,MF,Schalke 04,2001
Umut Bozok\Umut-Bozok,TUR,FWMF,Lorient,1996
Jayden Braaf\Jayden-Braaf,NED,FW,Udinese,2002
Domagoj Bradarić\Domagoj-Bradaric,CRO,DF,Lille,1999
Robbie Brady\Robbie-Brady,IRL,MF,Burnley,1992
Martin Braithwaite\Martin-Braithwaite,DEN,FW,Barcelona,1991
Julian Brandt\Julian-Brandt,GER,FWMF,Dortmund,1996
Darko Brašanac\Darko-Brasanac,SRB,MF,Osasuna,1992
Lilian Brassier\Lilian-Brassier,FRA,DF,Brest,1999
Álvaro Bravo\Alvaro-Bravo,ESP,MF,Granada,1998
Claudio Bravo\Claudio-Bravo,CHI,GK,Betis,1983
Fabian Bredlow\Fabian-Bredlow,GER,GK,Stuttgart,1995
Josip Brekalo\Josip-Brekalo,CRO,FW,Wolfsburg,1998
Gleison Bremer\Gleison-Bremer,BRA,DF,Torino,1997
Joshua Brenet\Joshua-Brenet,NED,DF,Hoffenheim,1994
Rhian Brewster\Rhian-Brewster,ENG,FW,Sheffield Utd,2000
Anthony Briançon\Anthony-Briancon,FRA,DF,Nîmes,1994
Jimmy Briand\Jimmy-Briand,FRA,FW,Bordeaux,1985
Yan Brice Eteki\Yan-Brice-Eteki,CMR,MF,Granada,1997
Nathan Broadhead\Nathan-Broadhead,WAL,MF,Everton,1998
Dylan Bronn\Dylan-Bronn,TUN,DF,Metz,1995
John Brooks\John-Brooks,USA,DF,Wolfsburg,1993
Daniel Brosinski\Daniel-Brosinski,GER,DF,Mainz 05,1988
Josh Brownhill\Josh-Brownhill,ENG,MF,Burnley,1995
Marcelo Brozović\Marcelo-Brozovic,CRO,MF,Inter,1992
Gastón Brugman\Gaston-Brugman,URU,MF,Parma,1992
Juan Brunet\Juan-Brunet,ARG,MF,Granada,1998
Juan Brunetta\Juan-Brunetta,ARG,FWMF,Parma,1997
Cédric Brunner\Cedric-Brunner,SUI,DF,Arminia,1994
Jacob Bruun Larsen\Jacob-Bruun-Larsen,DEN,FW,Hoffenheim,1998
Bryan\Bryan,ESP,FW,Sevilla,2001
Bryan\Bryan,ESP,MFFW,Eibar,2001
Joe Bryan\Joe-Bryan,ENG,DFFW,Fulham,1993
Kean Bryan\Kean-Bryan,ENG,DF,Sheffield Utd,1996
Lucas Buadés\Lucas-Buades,FRA,MF,Nîmes,1997
Ante Budimir\Ante-Budimir,CRO,FW,Osasuna,1991
