Player,Nation,Pos,Squad,Born
Riccardo Orsolini\Riccardo-Orsolini,ITA,FWMF,Bologna,1997
Stefan Ortega\Stefan-Ortega,GER,GK,Arminia,1992
Yuya Osako\Yuya-Osako,JPN,MFFW,Werder Bremen,1990
Ben Osborn\Ben-Osborn,ENG,MFDF,Sheffield Utd,1994
Victor Osimhen\Victor-Osimhen,NGA,FW,Napoli,1998
Yordan Osorio\Yordan-Osorio,VEN,DF,Parma,1994
David Ospina\David-Ospina,COL,GK,Napoli,1988
Owen Otasowie\Owen-Otasowie,USA,MFFW,Wolves,2001
Otávio\Otavio,BRA,MF,Bordeaux,1994
Paulo Otávio\Paulo-Otavio,BRA,DF,Wolfsburg,1994
Remi Oudin\Remi-Oudin,FRA,FWMF,Bordeaux,1996
Alexandre Oukidja\Alexandre-Oukidja,ALG,GK,Metz,1988
Zinédine Ould Khaled\Zinedine-Ould-Khaled,FRA,MF,Angers,2000
Adam Ounas\Adam-Ounas,ALG,FWMF,Crotone,1996
Adam Ounas\Adam-Ounas,ALG,MFFW,Cagliari,1996
Thomas Ouwejan\Thomas-Ouwejan,NED,DF,Udinese,1996
Reece Oxford\Reece-Oxford,ENG,DF,Augsburg,1998
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,ENG,FWMF,Liverpool,1993
Mikel Oyarzabal\Mikel-Oyarzabal,ESP,FWMF,Real Sociedad,1997
Ambroise Oyongo\Ambroise-Oyongo,CMR,DF,Montpellier,1991
Salih Özcan\Salih-Ozcan,GER,MF,Köln,1998
Levin Öztunalı\Levin-Oztunali,GER,DFFW,Mainz 05,1996
Pablo\Pablo,BRA,DF,Bordeaux,1991
Fernando Pacheco\Fernando-Pacheco,ESP,GK,Alavés,1992
Jon Pacheco\Jon-Pacheco,ESP,DF,Real Sociedad,2001
Gonçalo Paciência\Goncalo-Paciencia,POR,FW,Schalke 04,1994
Daniele Padelli\Daniele-Padelli,ITA,GK,Inter,1985
Mattia Pagliuca\Mattia-Pagliuca,ITA,MF,Bologna,2002
Vincent Pajot\Vincent-Pajot,FRA,MF,Metz,1990
Rodrigo Palacio\Rodrigo-Palacio,ARG,FW,Bologna,1982
Exequiel Palacios\Exequiel-Palacios,ARG,MF,Leverkusen,1998
Helibelton Palacios\Helibelton-Palacios,COL,DF,Elche,1993
Ante Palaversa\Ante-Palaversa,CRO,MFFW,Getafe,2000
Alberto Paleari\Alberto-Paleari,ITA,GK,Genoa,1992
Nicolas Pallois\Nicolas-Pallois,FRA,DF,Nantes,1987
Emerson Palmieri\Emerson-Palmieri,ITA,DF,Chelsea,1994
Antonio Palumbo\Antonio-Palumbo,ITA,MF,Sampdoria,1996
Martin Palumbo\Martin-Palumbo,NOR,MF,Udinese,2002
Goran Pandev\Goran-Pandev,MKD,FWMF,Genoa,1983
Ivor Pandur\Ivor-Pandur,CRO,GK,Hellas Verona,2000
Jonathan Panzo\Jonathan-Panzo,ENG,DF,Dijon,2000
Matondo-Merveille Papela\Matondo-Merveille-Papela,GER,DF,Mainz 05,2001
Lucas Paquetá\Lucas-Paqueta,BRA,MF,Lyon,1997
Gaëtan Paquiez\Gaetan-Paquiez,FRA,DF,Nîmes,1994
Rubén Pardo\Ruben-Pardo,ESP,MFFW,Bordeaux,1992
Leandro Paredes\Leandro-Paredes,ARG,MF,Paris S-G,1994
Daniel Parejo\Daniel-Parejo,ESP,MF,Villarreal,1989
Vittorio Parigini\Vittorio-Parigini,ITA,FWDF,Genoa,1996
Marco Parolo\Marco-Parolo,ITA,DFMF,Lazio,1985
Thomas Partey\Thomas-Partey,GHA,MF,Arsenal,1993
Thomas Partey\Thomas-Partey,GHA,MF,Atlético Madrid,1993
Mario Pašalić\Mario-Pasalic,CRO,MFFW,Atalanta,1995
Felix Passlack\Felix-Passlack,GER,DF,Dortmund,1998
Christian Pastina\Christian-Pastina,ITA,DF,Benevento,2001
Javier Pastore\Javier-Pastore,ARG,FWMF,Roma,1989
Patric\Patric,ESP,DF,Lazio,1993
Rui Patrício\Rui-Patricio,POR,GK,Wolves,1988
Paulinho\Paulinho,BRA,FW,Leverkusen,2000
Gabriel Paulista\Gabriel-Paulista,BRA,DF,Valencia,1990
Benjamin Pavard\Benjamin-Pavard,FRA,DF,Bayern Munich,1996
Jiří Pavlenka\Jiri-Pavlenka,CZE,GK,Werder Bremen,1992
Vasileios Pavlidis\Vasileios-Pavlidis,GRE,FW,Schalke 04,2002
Mateo Pavlović\Mateo-Pavlovic,BIH,DF,Angers,1990
Strahinja Pavlović\Strahinja-Pavlovic,SRB,DF,Monaco,2001
Leonardo Pavoletti\Leonardo-Pavoletti,ITA,FW,Cagliari,1988
Dimitri Payet\Dimitri-Payet,FRA,FWMF,Marseille,1987
Nehuén Paz\Nehuen-Paz,ARG,DF,Bologna,1993
Bailey Peacock-Farrell\Bailey-Peacock-Farrell,NIR,GK,Burnley,1996
Mads Pedersen\Mads-Pedersen,DEN,DF,Augsburg,1996
Alfonso Pedraza\Alfonso-Pedraza,ESP,DF,Villarreal,1996
Pedri\Pedri,ESP,MF,Barcelona,2002
Pedro\Pedro,ESP,FWMF,Roma,1987
João Pedro\Joao-Pedro,BRA,FWMF,Cagliari,1992
Gianluca Pegolo\Gianluca-Pegolo,ITA,GK,Sassuolo,1981
Peter Pekarík\Peter-Pekarik,SVK,DF,Hertha BSC,1986
Yohann Pelé\Yohann-Pele,FRA,GK,Marseille,1982
Graziano Pellè\Graziano-Pelle,ITA,FW,Parma,1985
Pietro Pellegri\Pietro-Pellegri,ITA,FWMF,Monaco,2001
Lorenzo Pellegrini\Lorenzo-Pellegrini,ITA,MFFW,Roma,1996
Luca Pellegrini\Luca-Pellegrini,ITA,DFMF,Genoa,1999
Facundo Pellistri\Facundo-Pellistri,URU,MFFW,Alavés,2001
Andy Pelmard\Andy-Pelmard,FRA,DF,Nice,2000
Lee Peltier\Lee-Peltier,ENG,DF,West Brom,1986
Federico Peluso\Federico-Peluso,ITA,DF,Sassuolo,1984
Timothee Pembele\Timothee-Pembele,FRA,DF,Paris S-G,2002
Rubén Peña\Ruben-Pena,ESP,DF,Villarreal,1991
Philipp Pentke\Philipp-Pentke,GER,GK,Hoffenheim,1985
Pepe\Pepe,ESP,DF,Granada,2000
Nicolas Pépé\Nicolas-Pepe,CIV,FW,Arsenal,1995
Alberto Perea\Alberto-Perea,ESP,MF,Cádiz,1990
Mathias Pereira Lage\Mathias-Pereira-Lage,POR,FWMF,Angers,1996
Andreas Pereira\Andreas-Pereira,BRA,MFFW,Lazio,1996
Danilo Pereira\Danilo-Pereira,POR,MFDF,Paris S-G,1991
Matheus Pereira\Matheus-Pereira,BRA,MFFW,West Brom,1996
Pedro Pereira\Pedro-Pereira,POR,DF,Crotone,1998
Ricardo Pereira\Ricardo-Pereira,POR,DF,Leicester City,1993
Gastón Pereiro\Gaston-Pereiro,URU,MFFW,Cagliari,1995
Bruno Peres\Bruno-Peres,BRA,DF,Roma,1990
Roberto Pereyra\Roberto-Pereyra,ARG,MFFW,Udinese,1991
Ayoze Pérez\Ayoze-Perez,ESP,MFFW,Leicester City,1993
Carles Pérez\Carles-Perez,ESP,FWMF,Roma,1998
Iñigo Pérez\Inigo-Perez,ESP,MFDF,Osasuna,1988
Juan Pérez\Juan-Perez,ESP,GK,Osasuna,1996
Kike Pérez\Kike-Perez,ESP,MF,Valladolid,1997
Lucas Pérez\Lucas-Perez,ESP,FW,Alavés,1988
Luis Pérez\Luis-Perez,ESP,DF,Valladolid,1995
Manuel Perez\Manuel-Perez,FRA,MF,Lens,1991
Nehuén Pérez\Nehuen-Perez,ARG,DF,Granada,2000
Mattia Perin\Mattia-Perin,ITA,GK,Genoa,1992
Ivan Perišić\Ivan-Perisic,CRO,DFFW,Inter,1989
Romain Perraud\Romain-Perraud,FRA,DF,Brest,1997
Lucas Perrin\Lucas-Perrin,FRA,DF,Marseille,1998
Pavao Pervan\Pavao-Pervan,AUT,GK,Wolfsburg,1987
Matteo Pessina\Matteo-Pessina,ITA,MF,Atalanta,1997
Andrea Petagna\Andrea-Petagna,ITA,FW,Napoli,1995
Nils Petersen\Nils-Petersen,GER,FW,Freiburg,1988
Lukas Petkov\Lukas-Petkov,GER,MF,Augsburg,2000
Jacopo Petriccione\Jacopo-Petriccione,ITA,MF,Crotone,1995
Jens Petter Hauge\Jens-Petter-Hauge,NOR,FWMF,Milan,1999
Germán Pezzella\German-Pezzella,ARG,DF,Fiorentina,1991
Giuseppe Pezzella\Giuseppe-Pezzella,ITA,DF,Parma,1997
Maximilian Philipp\Maximilian-Philipp,GER,MF,Wolfsburg,1994
Rayan Philippe\Rayan-Philippe,FRA,FW,Dijon,2000
Romain Philippoteaux\Romain-Philippoteaux,FRA,FW,Nîmes,1988
Romain Philippoteaux\Romain-Philippoteaux,FRA,MFFW,Brest,1988
Kalvin Phillips\Kalvin-Phillips,ENG,MF,Leeds United,1995
Matt Phillips\Matt-Phillips,SCO,MF,West Brom,1991
Nathaniel Phillips\Nathaniel-Phillips,ENG,DF,Liverpool,1997
Jaden Philogene Bidace\Jaden-Philogene-Bidace,ENG,FW,Aston Villa,2002
Krzysztof Piątek\Krzysztof-Piatek,POL,FW,Hertha BSC,1995
Pablo Piatti\Pablo-Piatti,ARG,MFFW,Elche,1989
Cristiano Piccini\Cristiano-Piccini,ITA,DF,Atalanta,1992
Cristiano Piccini\Cristiano-Piccini,ITA,DF,Valencia,1992
Roberto Piccoli\Roberto-Piccoli,ITA,FW,Spezia,2001
Jordan Pickford\Jordan-Pickford,ENG,GK,Everton,1994
Jérémy Pied\Jeremy-Pied,FRA,DF,Lille,1989
Amos Pieper\Amos-Pieper,GER,DF,Arminia,1998
Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,FRA,DF,Brest,1998
Erik Pieters\Erik-Pieters,NED,DFMF,Burnley,1988
Tomás Pina Isla\Tomas-Pina-Isla,ESP,MF,Alavés,1987
Andrea Pinamonti\Andrea-Pinamonti,ITA,FW,Inter,1999
Yeremi Pino\Yeremi-Pino,ESP,FWMF,Villarreal,2002
Carlo Pinsoglio\Carlo-Pinsoglio,ITA,GK,Juventus,1990
Gerard Piqué\Gerard-Pique,ESP,DF,Barcelona,1987
Fabio Pisacane\Fabio-Pisacane,ITA,DF,Cagliari,1986
Łukasz Piszczek\Lukasz-Piszczek,POL,DF,Dortmund,1985
Marko Pjaca\Marko-Pjaca,CRO,FWMF,Genoa,1995
Miralem Pjanić\Miralem-Pjanic,BIH,MF,Barcelona,1990
Óscar Plano\Oscar-Plano,ESP,MFFW,Valladolid,1991
Marvin Plattenhardt\Marvin-Plattenhardt,GER,DF,Hertha BSC,1992
Alassane Pléa\Alassane-Plea,FRA,FW,M'Gladbach,1993
Dani Plomer\Dani-Plomer,ESP,FW,Granada,1998
Tommaso Pobega\Tommaso-Pobega,ITA,MF,Spezia,1999
Daniel Podence\Daniel-Podence,POR,MFFW,Wolves,1995
Paul Pogba\Paul-Pogba,FRA,MFFW,Manchester Utd,1993
Joel Pohjanpalo\Joel-Pohjanpalo,FIN,FW,Union Berlin,1994
Joel Pohjanpalo\Joel-Pohjanpalo,FIN,MF,Leverkusen,1994
Andrea Poli\Andrea-Poli,ITA,MF,Bologna,1989
Matteo Politano\Matteo-Politano,ITA,FW,Napoli,1993
Jorge Pombo\Jorge-Pombo,ESP,FWMF,Cádiz,1994
Marin Pongračić\Marin-Pongracic,CRO,DF,Wolfsburg,1997
Pere Pons\Pere-Pons,ESP,MF,Alavés,1993
Nick Pope\Nick-Pope,ENG,GK,Burnley,1992
Manolo Portanova\Manolo-Portanova,ITA,DFMF,Genoa,2000
Manolo Portanova\Manolo-Portanova,ITA,FWMF,Juventus,2000
Francisco Portillo\Francisco-Portillo,ESP,MFFW,Getafe,1990
Portu\Portu,ESP,FWMF,Real Sociedad,1992
Stefan Posch\Stefan-Posch,AUT,DF,Hoffenheim,1997
Sergio Postigo\Sergio-Postigo,ESP,DF,Levante,1988
Yussuf Poulsen\Yussuf-Poulsen,DEN,FW,RB Leipzig,1994
Maxime Poundjé\Maxime-Poundje,FRA,DF,Bordeaux,1992
Darío Poveda\Dario-Poveda,ESP,FW,Getafe,1997
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,ESP,DFMF,Eibar,1999
Dennis Praet\Dennis-Praet,BEL,MFFW,Leicester City,1994
Sanjin Prcić\Sanjin-Prcic,BIH,MF,Strasbourg,1993
Nicolas de Préville\Nicolas-de-Preville,FRA,FWMF,Bordeaux,1991
Manuel Prietl\Manuel-Prietl,AUT,MF,Arminia,1991
Grischa Prömel\Grischa-Promel,GER,MF,Union Berlin,1995
Davy Pröpper\Davy-Propper,NED,MF,Brighton,1991
Ivan Provedel\Ivan-Provedel,ITA,GK,Spezia,1994
Antonio Puertas\Antonio-Puertas,ESP,FWMF,Granada,1992
Riqui Puig\Riqui-Puig,ESP,MF,Barcelona,1999
Erick Pulgar\Erick-Pulgar,CHI,MF,Fiorentina,1994
Jorge Pulido\Jorge-Pulido,ESP,DF,Huesca,1991
Christian Pulisic\Christian-Pulisic,USA,FWMF,Chelsea,1998
Ignacio Pussetto\Ignacio-Pussetto,ARG,FW,Udinese,1995
Fabio Quagliarella\Fabio-Quagliarella,ITA,FW,Sampdoria,1983
Robin Quaison\Robin-Quaison,SWE,FWMF,Mainz 05,1993
Domingos Quina\Domingos-Quina,POR,MF,Granada,1999
Quini\Quini,ESP,DF,Granada,1989
Quique\Quique,ESP,FWMF,Eibar,1990
Dani Raba\Dani-Raba,ESP,MF,Villarreal,1995
Simone Rabbi\Simone-Rabbi,ITA,FW,Bologna,2001
Adrien Rabiot\Adrien-Rabiot,FRA,MF,Juventus,1995
Uroš Račić\Uros-Racic,SRB,MF,Valencia,1998
Anthony Racioppi\Anthony-Racioppi,SUI,GK,Dijon,1998
Nemanja Radoja\Nemanja-Radoja,SRB,MF,Levante,1993
Nemanja Radonjić\Nemanja-Radonjic,SRB,FW,Marseille,1996
Nemanja Radonjić\Nemanja-Radonjic,SRB,FWDF,Hertha BSC,1996
Aleksandar Radovanović\Aleksandar-Radovanovic,SRB,DF,Lens,1993
Ivan Radovanović\Ivan-Radovanovic,SRB,DFMF,Genoa,1988
Ionuț Radu\Ionut-Radu,ROU,GK,Inter,1997
Ștefan Radu\Stefan-Radu,ROU,DF,Lazio,1986
Rafael\Rafael,BRA,GK,Spezia,1982
Rafinha\Rafinha,BRA,MF,Paris S-G,1993
Antonio Raimondo\Antonio-Raimondo,ITA,FW,Bologna,2004
Predrag Rajković\Predrag-Rajkovic,SRB,GK,Reims,1995
Ivan Rakitić\Ivan-Rakitic,CRO,MF,Sevilla,1988
Jonás Ramalho\Jonas-Ramalho,ESP,DF,Osasuna,1993
Benito Raman\Benito-Raman,BEL,FWMF,Schalke 04,1994
Gastón Ramírez\Gaston-Ramirez,URU,MFFW,Sampdoria,1990
Sandro Ramírez\Sandro-Ramirez,ESP,FWMF,Huesca,1995
Sergio Ramos\Sergio-Ramos,ESP,DF,Real Madrid,1986
Aaron Ramsdale\Aaron-Ramsdale,ENG,GK,Sheffield Utd,1998
Aaron Ramsey\Aaron-Ramsey,WAL,MF,Juventus,1990
Jacob Ramsey\Jacob-Ramsey,ENG,MF,Aston Villa,2001
Kayne Ramsey\Kayne-Ramsey,ENG,DF,Southampton,2000
Darren Randolph\Darren-Randolph,IRL,GK,West Ham,1987
Andrea Ranocchia\Andrea-Ranocchia,ITA,DF,Inter,1988
Marcus Rashford\Marcus-Rashford,ENG,FW,Manchester Utd,1997
Milot Rashica\Milot-Rashica,KVX,FWMF,Werder Bremen,1996
Giacomo Raspadori\Giacomo-Raspadori,ITA,FWMF,Sassuolo,2000
Federico Ravaglia\Federico-Ravaglia,ITA,GK,Bologna,1999
Tim Ream\Tim-Ream,USA,DF,Fulham,1987
Ante Rebić\Ante-Rebic,CRO,FW,Milan,1993
Arkadiusz Reca\Arkadiusz-Reca,POL,DF,Crotone,1995
Recio\Recio,ESP,MF,Eibar,1991
Daishawn Redan\Daishawn-Redan,NED,FWMF,Hertha BSC,2001
Nathan Redmond\Nathan-Redmond,ENG,MFFW,Southampton,1994
Harrison Reed\Harrison-Reed,ENG,MF,Fulham,1995
Vasco Regini\Vasco-Regini,ITA,DF,Sampdoria,1990
Sergio Reguilón\Sergio-Reguilon,ESP,DF,Tottenham,1996
Bobby Reid\Bobby-Reid,JAM,MFDF,Fulham,1993
Pepe Reina\Pepe-Reina,ESP,GK,Lazio,1982
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,FRA,MFFW,Nice,1998
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,FRA,FW,Lyon,1998
Reinier\Reinier,BRA,MFFW,Dortmund,2002
Francisco Reis Ferreira\Francisco-Reis-Ferreira,POR,DF,Valencia,1997
Rocco Reitz\Rocco-Reitz,GER,MF,M'Gladbach,2002
Karim Rekik\Karim-Rekik,NED,DF,Sevilla,1994
Álex Remiro\Alex-Remiro,ESP,GK,Real Sociedad,1995
Panagiotis Retsos\Panagiotis-Retsos,GRE,DF,Saint-Étienne,1998
Marco Reus\Marco-Reus,GER,MFFW,Dortmund,1989
Elvis Rexhbeçaj\Elvis-Rexhbecaj,GER,MFFW,Köln,1997
Oriol Rey\Oriol-Rey,ESP,MF,Valladolid,1998
Gio Reyna\Gio-Reyna,USA,FWMF,Dortmund,2002
Baptiste Reynet\Baptiste-Reynet,FRA,GK,Nîmes,1990
Bryan Reynolds\Bryan-Reynolds,USA,DF,Roma,2001
Franck Ribéry\Franck-Ribery,FRA,FW,Fiorentina,1983
Ricard\Ricard,ESP,DF,Atlético Madrid,2000
Federico Ricci\Federico-Ricci,ITA,FW,Sassuolo,1994
Giacomo Ricci\Giacomo-Ricci,ITA,DF,Parma,1996
Matteo Ricci\Matteo-Ricci,ITA,MF,Spezia,1994
Declan Rice\Declan-Rice,ENG,MF,West Ham,1999
Chris Richards\Chris-Richards,USA,DF,Hoffenheim,2000
Chris Richards\Chris-Richards,USA,DF,Bayern Munich,2000
Lewis Richardson\Lewis-Richardson,ENG,FWMF,Burnley,2003
Richarlison\Richarlison,BRA,FW,Everton,1997
Marco Richter\Marco-Richter,GER,FWMF,Augsburg,1997
Mikel Rico\Mikel-Rico,ESP,MF,Huesca,1984
Sergio Rico\Sergio-Rico,ESP,GK,Paris S-G,1993
Jaïro Riedewald\Jairo-Riedewald,NED,MF,Crystal Palace,1996
Emiliano Rigoni\Emiliano-Rigoni,ARG,MFFW,Elche,1993
Tomás Rincón\Tomas-Rincon,VEN,MF,Torino,1988
Luis Rioja\Luis-Rioja,ESP,MF,Alavés,1993
Renaud Ripart\Renaud-Ripart,FRA,MFFW,Nîmes,1993
Andrea Rispoli\Andrea-Rispoli,ITA,DF,Crotone,1988
Mihailo Ristić\Mihailo-Ristic,SRB,DF,Montpellier,1995
Matt Ritchie\Matt-Ritchie,SCO,DFMF,Newcastle Utd,1989
Maxence Rivera\Maxence-Rivera,FRA,MFFW,Saint-Étienne,2002
Emmanuel Rivière\Emmanuel-Riviere,FRA,FWMF,Crotone,1990
Rober\Rober,ESP,DFMF,Levante,1995
Roberto\Roberto,ESP,GK,Valladolid,1986
Sergi Roberto\Sergi-Roberto,ESP,DF,Barcelona,1992
Tyler Roberts\Tyler-Roberts,WAL,MFFW,Leeds United,1999
Andrew Robertson\Andrew-Robertson,SCO,DF,Liverpool,1994
Antonee Robinson\Antonee-Robinson,USA,DF,Fulham,1997
Callum Robinson\Callum-Robinson,IRL,FWMF,West Brom,1995
Jack Robinson\Jack-Robinson,ENG,DF,Sheffield Utd,1993
Joel Robles\Joel-Robles,ESP,GK,Betis,1990
Hal Robson-Kanu\Hal-Robson-Kanu,WAL,FW,West Brom,1989
Marc Roca\Marc-Roca,ESP,MF,Bayern Munich,1996
Christopher Rocchia\Christopher-Rocchia,FRA,DF,Marseille,1998
Rubén Rochina\Ruben-Rochina,ESP,MF,Levante,1991
Marek Rodák\Marek-Rodak,SVK,GK,Fulham,1996
Sebastian Rode\Sebastian-Rode,GER,MF,Eint Frankfurt,1990
Joe Rodon\Joe-Rodon,WAL,DF,Tottenham,1997
Rodri\Rodri,ESP,MF,Manchester City,1996
Rodrigo\Rodrigo,ESP,MFFW,Leeds United,1991
Rodrigo\Rodrigo,ESP,FWMF,Betis,2000
Kévin Rodrigues\Kevin-Rodrigues,POR,DFMF,Eibar,1994
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,ESP,MFFW,Sevilla,1998
Ángel Rodríguez\Angel-Rodriguez,ESP,FWMF,Getafe,1987
Guido Rodríguez\Guido-Rodriguez,ARG,MF,Betis,1994
James Rodríguez\James-Rodriguez,COL,FWMF,Everton,1991
Jay Rodriguez\Jay-Rodriguez,ENG,FWMF,Burnley,1989
Miguel Rodríguez\Miguel-Rodriguez,ESP,FWMF,Celta Vigo,2003
Ricardo Rodríguez\Ricardo-Rodriguez,SUI,DF,Torino,1992
Víctor Rodríguez\Victor-Rodriguez,ESP,MF,Elche,1989
Rodrygo\Rodrygo,BRA,FW,Real Madrid,2001
Marko Rog\Marko-Rog,CRO,MF,Cagliari,1995
Rogério\Rogerio,BRA,DF,Sassuolo,1998
Luis Rojas\Luis-Rojas,CHI,MFFW,Crotone,2002
Alessio Romagnoli\Alessio-Romagnoli,ITA,DF,Milan,1995
Cristian Romero\Cristian-Romero,ARG,DF,Atalanta,1998
Oriol Romeu\Oriol-Romeu,ESP,MF,Southampton,1991
Cristiano Ronaldo\Cristiano-Ronaldo,POR,FW,Juventus,1985
Facundo Roncaglia\Facundo-Roncaglia,ARG,DF,Osasuna,1987
Valentin Rongier\Valentin-Rongier,FRA,MF,Marseille,1994
Marten de Roon\Marten-de-Roon,NED,MF,Atalanta,1991
Jérôme Roussillon\Jerome-Roussillon,FRA,DF,Wolfsburg,1993
Nolan Roux\Nolan-Roux,FRA,FW,Nîmes,1988
Nicolò Rovella\Nicolo-Rovella,ITA,MF,Genoa,2001
Amir Rrahmani\Amir-Rrahmani,KVX,DF,Napoli,1994
Rubén\Ruben,ESP,GKMF,Osasuna,1984
Waldo Rubio\Waldo-Rubio,ESP,FW,Valladolid,1995
John Ruddy\John-Ruddy,ENG,GK,Wolves,1986
Antonio Rüdiger\Antonio-Rudiger,GER,DF,Chelsea,1993
Sebastian Rudy\Sebastian-Rudy,GER,MFDF,Hoffenheim,1990
Sebastian Rudy\Sebastian-Rudy,GER,DF,Schalke 04,1990
Kevin Rüegg\Kevin-Ruegg,SUI,DFMF,Hellas Verona,1998
Daniele Rugani\Daniele-Rugani,ITA,DF,Cagliari,1994
Daniele Rugani\Daniele-Rugani,ITA,DF,Rennes,1994
Matteo Ruggeri\Matteo-Ruggeri,ITA,DF,Atalanta,2002
Mário Rui\Mario-Rui,POR,DF,Napoli,1991
Aitor Ruibal\Aitor-Ruibal,ESP,FWMF,Betis,1996
Fabián Ruiz Peña\Fabian-Ruiz-Pena,ESP,MF,Napoli,1996
Isma Ruiz\Isma-Ruiz,ESP,MF,Granada,2001
Kays Ruiz\Kays-Ruiz,MAR,FWMF,Paris S-G,2002
Víctor Ruiz\Victor-Ruiz,ESP,DF,Betis,1989
Gerónimo Rulli\Geronimo-Rulli,ARG,GK,Villarreal,1992
Georginio Rutter\Georginio-Rutter,FRA,FWMF,Rennes,2002
Georginio Rutter\Georginio-Rutter,FRA,FW,Hoffenheim,2002
Mathew Ryan\Mathew-Ryan,AUS,GK,Arsenal,1992
Mathew Ryan\Mathew-Ryan,AUS,GK,Brighton,1992
Julian Ryerson\Julian-Ryerson,NOR,DFMF,Union Berlin,1997
Frederik Rønnow\Frederik-Ronnow,DEN,GK,Schalke 04,1992
João Victor Santos Sá\Joao-Victor-Santos-Sa,BRA,FW,Wolfsburg,1994
Roli Pereira de Sa\Roli-Pereira-de-Sa,FRA,MFFW,Nantes,1996
Idriss Saadi\Idriss-Saadi,ALG,FWMF,Strasbourg,1992
Youssouf Sabaly\Youssouf-Sabaly,SEN,DF,Bordeaux,1993
Mathys Saban\Mathys-Saban,FRA,FW,Saint-Étienne,2002
Marcel Sabitzer\Marcel-Sabitzer,AUT,MF,RB Leipzig,1994
Alexis Saelemaekers\Alexis-Saelemaekers,BEL,FW,Milan,1999
Modibo Sagnan\Modibo-Sagnan,MLI,DF,Real Sociedad,1999
Allan Saint-Maximin\Allan-Saint-Maximin,FRA,FWMF,Newcastle Utd,1997
Borja Sainz\Borja-Sainz,ESP,MFFW,Alavés,2001
Romain Saïss\Romain-Saiss,MAR,DF,Wolves,1990
Bukayo Saka\Bukayo-Saka,ENG,FWDF,Arsenal,2001
Hiroki Sakai\Hiroki-Sakai,JPN,DF,Marseille,1990
Moïse Sakava\Moise-Sakava,CMR,MF,Reims,2000
Mamadou Sakho\Mamadou-Sakho,FRA,DF,Crystal Palace,1990
Jacopo Sala\Jacopo-Sala,ITA,DF,Spezia,1991
Mohamed Salah\Mohamed-Salah,EGY,FW,Liverpool,1992
Eddy Salcedo\Eddy-Salcedo,ITA,FWMF,Hellas Verona,2001
William Saliba\William-Saliba,FRA,DF,Nice,2001
Romain Salin\Romain-Salin,FRA,GK,Rennes,1984
Mohammed Salisu\Mohammed-Salisu,GHA,DF,Southampton,1999
Roland Sallai\Roland-Sallai,HUN,MFFW,Freiburg,1997
Salvi\Salvi,ESP,MFFW,Cádiz,1991
Lazar Samardzic\Lazar-Samardzic,GER,MFFW,RB Leipzig,2002
Diadie Samassékou\Diadie-Samassekou,MLI,MF,Hoffenheim,1996
Mama Samba Baldé\Mama-Samba-Balde,GNB,FW,Dijon,1995
Junior Sambia\Junior-Sambia,FRA,DFMF,Montpellier,1996
Frédéric Sammaritano\Frederic-Sammaritano,FRA,FWMF,Dijon,1986
Fede San Emeterio\Fede-San-Emeterio,ESP,MF,Valladolid,1997
Antonio Sanabria\Antonio-Sanabria,PAR,FW,Torino,1996
Antonio Sanabria\Antonio-Sanabria,PAR,FW,Betis,1996
Oihan Sancet\Oihan-Sancet,ESP,FWMF,Athletic Club,2000
Renato Sanches\Renato-Sanches,POR,MF,Lille,1997
Juan Sánchez Miño\Juan-Sanchez-Mino,ARG,DFMF,Elche,1990
Alexis Sánchez\Alexis-Sanchez,CHI,FW,Inter,1988
Davinson Sánchez\Davinson-Sanchez,COL,DF,Tottenham,1996
Germán Sánchez\German-Sanchez,ESP,DF,Granada,1986
Javi Sánchez\Javi-Sanchez,ESP,DF,Valladolid,1997
Manuel Sánchez\Manuel-Sanchez,ESP,DF,Osasuna,2000
Manuel Sánchez\Manuel-Sanchez,ESP,DF,Atlético Madrid,2000
Robert Sánchez\Robert-Sanchez,ESP,GK,Brighton,1997
Jadon Sancho\Jadon-Sancho,ENG,FWMF,Dortmund,2000
Alex Sandro\Alex-Sandro,BRA,DF,Juventus,1991
Leroy Sané\Leroy-Sane,GER,FWMF,Bayern Munich,1996
Salif Sané\Salif-Sane,SEN,DF,Schalke 04,1990
Oier Sanjurjo\Oier-Sanjurjo,ESP,MF,Osasuna,1986
Mohamed Sankoh\Mohamed-Sankoh,NED,FW,Stuttgart,2003
Siriki Sanogo\Siriki-Sanogo,CIV,MF,Benevento,2001
Morgan Sanson\Morgan-Sanson,FRA,MF,Aston Villa,1994
Morgan Sanson\Morgan-Sanson,FRA,MF,Marseille,1994
Nicola Sansone\Nicola-Sansone,ITA,FWMF,Bologna,1991
Baptiste Santamaria\Baptiste-Santamaria,FRA,MF,Angers,1995
Baptiste Santamaria\Baptiste-Santamaria,FRA,MF,Freiburg,1995
Federico Santander\Federico-Santander,PAR,FW,Bologna,1991
Davide Santon\Davide-Santon,ITA,DF,Roma,1991
Samir Santos\Samir-Santos,BRA,DF,Udinese,1994
