Unnamed: 0,Expected,Expected.1,Expected.2,Expected.3
Rk,xG,npxG,xA,npxG+xA
848,0.1,0.1,0.1,0.1
849,7,6.3,5.7,11.9
850,0.7,0.7,0.7,1.4
851,0.3,0.3,1.3,1.6
852,0.2,0.2,0.1,0.3
853,0.1,0.1,0,0.1
854,0.1,0.1,0.7,0.8
855,4.1,4.1,3.8,7.9
856,0.9,0.7,1.5,2.2
857,3.4,3.4,3,6.4
858,0,0,0,0
859,0,0,0,0
860,1.8,1.8,1.4,3.2
861,0.5,0.5,2,2.5
862,1.8,1.8,0.1,1.9
863,0.2,0.2,0,0.2
864,7.5,5.2,5.3,10.5
865,0.9,0.9,0.2,1.1
866,0.2,0.2,0.2,0.4
867,1.2,1.2,0.2,1.4
868,5.1,3.6,3.8,7.3
869,5.2,4.4,5.9,10.3
870,15.4,7.8,11,18.8
871,0.7,0.7,0.9,1.6
872,0,0,0,0
873,3.2,1.7,1.8,3.5
874,0,0,0.1,0.1
875,0,0,0,0
876,0,0,0,0
877,0.1,0.1,0.1,0.2
878,1.1,1.1,0.6,1.8
879,0.3,0.3,0.3,0.6
880,1.3,1.3,0.3,1.5
881,0.8,0.8,0.9,1.7
882,0.7,0.7,3.4,4.1
883,0,0,0.4,0.4
884,1.9,1.9,5.5,7.4
885,,,,
886,1.4,1.4,0,1.4
887,0.2,0.2,1.5,1.7
888,0,0,0,0
889,4.1,1.9,5.1,6.9
890,0,0,0,0
891,3.1,1.6,1.4,3
892,12.6,12.6,6.4,19
893,0.8,0.8,0.7,1.5
894,0.9,0.9,2.6,3.5
895,0,0,0,0
896,0.5,0.5,0,0.5
897,0.1,0.1,0,0.1
898,2.2,2.2,2,4.2
899,0,0,0,0
900,5.5,5.5,4.1,9.7
901,0.3,0.3,0.1,0.4
902,3.2,3.2,2.3,5.5
903,1,1,0.3,1.3
904,0.2,0.2,0,0.2
905,2.1,2.1,2.3,4.4
906,0.2,0.2,1.7,1.9
907,0,0,0,0
908,2.3,2.3,0.9,3.2
909,0.1,0.1,0,0.1
910,0.6,0.6,0,0.6
911,1.2,1.2,0.4,1.6
912,1.2,1.2,1.4,2.5
913,6.5,6.5,2.6,9.1
914,5.8,3.6,5.3,8.9
915,0,0,0,0
916,4.2,3.3,2.6,5.9
917,0.2,0.2,0.2,0.5
918,0,0,0,0
919,0,0,0.3,0.3
920,0.2,0.2,0.1,0.4
921,0,0,0.3,0.3
922,0.3,0.3,1.8,2.1
923,0.1,0.1,0.2,0.3
924,0.2,0.2,1.2,1.4
925,0,0,2,2
926,0,0,0,0
927,0.9,0.9,2.1,3
928,1.9,1.9,2.5,4.5
929,0.3,0.3,1.2,1.5
930,2.2,2.2,2.8,5
931,0.7,0.7,0.6,1.2
932,1.3,1.3,0.8,2.2
933,0.1,0.1,0.6,0.7
934,3.3,3.3,5.3,8.6
935,0.1,0.1,0,0.1
936,5.4,4.7,4.6,9.3
937,6,4.5,0.2,4.7
938,1.2,1.2,0,1.2
939,2,2,2.1,4.1
940,0,0,0,0
941,0,0,0,0
942,0.6,0.6,0,0.7
943,3.6,2.9,1.8,4.6
944,1.8,1.8,1.9,3.7
945,1.2,1.2,1.3,2.5
946,2.4,2.4,1.1,3.4
947,2.5,2.5,0.3,2.7
948,2.1,1.4,0.2,1.6
949,0.2,0.2,3.1,3.3
950,1.8,1.8,1.6,3.4
951,1.5,1.5,0.7,2.1
952,3.4,3.4,1.2,4.6
953,0.7,0.7,0.6,1.3
954,7,7,1,8
955,0.4,0.4,0.8,1.2
956,1.3,1.3,1.2,2.5
957,0.4,0.4,0.4,0.8
958,1.5,1.5,0.3,1.8
959,0.1,0.1,0.1,0.2
960,0.7,0.7,0.3,1
961,0.1,0.1,0.2,0.4
